ID,TARGET
2024-07-01_B09KDTS4DC,3
2024-07-02_B09KDTS4DC,3
2024-07-03_B09KDTS4DC,3
2024-07-04_B09KDTS4DC,3
2024-07-05_B09KDTS4DC,4
2024-07-06_B09KDTS4DC,4
2024-07-07_B09KDTS4DC,4
2024-07-08_B09KDTS4DC,4
2024-07-09_B09KDTS4DC,4
2024-07-10_B09KDTS4DC,4
2024-07-11_B09KDTS4DC,4
2024-07-15_B09KDTS4DC,4
2024-07-16_B09KDTS4DC,4
2024-07-17_B09KDTS4DC,4
2024-07-18_B09KDTS4DC,4
2024-07-01_B09MR2MLZH,3
2024-07-02_B09MR2MLZH,2
2024-07-03_B09MR2MLZH,3
2024-07-04_B09MR2MLZH,3
2024-07-05_B09MR2MLZH,3
2024-07-06_B09MR2MLZH,3
2024-07-07_B09MR2MLZH,3
2024-07-09_B09MR2MLZH,3
2024-07-10_B09MR2MLZH,3
2024-07-11_B09MR2MLZH,3
2024-07-14_B09MR2MLZH,3
2024-07-15_B09MR2MLZH,4
2024-07-16_B09MR2MLZH,4
2024-07-17_B09MR2MLZH,4
2024-07-18_B09MR2MLZH,4
2024-07-01_B09KSYL73R,15
2024-07-02_B09KSYL73R,15
2024-07-03_B09KSYL73R,15
2024-07-04_B09KSYL73R,15
2024-07-05_B09KSYL73R,15
2024-07-06_B09KSYL73R,15
2024-07-07_B09KSYL73R,15
2024-07-08_B09KSYL73R,15
2024-07-09_B09KSYL73R,15
2024-07-10_B09KSYL73R,15
2024-07-11_B09KSYL73R,15
2024-07-12_B09KSYL73R,15
2024-07-13_B09KSYL73R,15
2024-07-14_B09KSYL73R,15
2024-07-15_B09KSYL73R,15
2024-07-01_B09KT5HMNY,0
2024-07-02_B09KT5HMNY,0
2024-07-03_B09KT5HMNY,0
2024-07-04_B09KT5HMNY,0
2024-07-05_B09KT5HMNY,0
2024-07-06_B09KT5HMNY,0
2024-07-07_B09KT5HMNY,0
2024-07-08_B09KT5HMNY,0
2024-07-09_B09KT5HMNY,0
2024-07-10_B09KT5HMNY,0
2024-07-11_B09KT5HMNY,0
2024-07-15_B09KT5HMNY,0
2024-07-16_B09KT5HMNY,0
2024-07-17_B09KT5HMNY,0
2024-07-18_B09KT5HMNY,0
2024-07-01_B09KTF8ZDQ,1
2024-07-02_B09KTF8ZDQ,1
2024-07-03_B09KTF8ZDQ,1
2024-07-04_B09KTF8ZDQ,1
2024-07-05_B09KTF8ZDQ,1
2024-07-06_B09KTF8ZDQ,1
2024-07-07_B09KTF8ZDQ,1
2024-07-08_B09KTF8ZDQ,1
2024-07-09_B09KTF8ZDQ,1
2024-07-10_B09KTF8ZDQ,1
2024-07-11_B09KTF8ZDQ,1
2024-07-12_B09KTF8ZDQ,1
2024-07-13_B09KTF8ZDQ,1
2024-07-14_B09KTF8ZDQ,1
2024-07-15_B09KTF8ZDQ,1
2024-07-01_B09KTJRHC7,76
2024-07-02_B09KTJRHC7,76
2024-07-03_B09KTJRHC7,76
